,steam_fault,blocked_spargers,airflow_OOC,OUR_OOC,overall
Fault detection rate,0.9065495683239059,0.9904138136350105,1.0,0.9832173913043478,0.9617990351195725
False alarm rate,0.00038917786176701717,0.0,0.0,0.0,0.00038917786176701717
Accuracy,0.9530801952310695,0.9952069068175052,1.0,0.9916086956521739,0.9807049286289027
