,defect_steambarrier,steam_in_feed,blocked_spargers,airflow_OOC,OUR_OOC,overall
Fault detection rate,0.12837153914855612,0.7790413813635011,0.9360523965465912,0.975,0.987,0.9589562691290139
False alarm rate,0.0,0.0,1.496837929873143e-05,0.0,0.0,1.496837929873143e-05
Accuracy,0.564185769574278,0.8895206906817505,0.9680187140836463,0.9875,0.9935,0.9794706503748576
