,Fault detection rate,False alarm rate,Accuracy
defect_steambarrier,0.9413515927359333,,
steam_in_feed,0.9628460851443882,,
blocked_spargers,0.993450431676094,,
airflow_OOC,1.0,,
OUR_OOC,0.9652608695652174,,
overall,0.9738756030502671,0.031688058975414435,0.9710937720374263
